               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11615,            0.016175,            0.080216,           0.0012866,             0.11933,           0.0016601,          0.00096424,            0.099943,            0.014956,            0.061492,            0.070019,           0.0033312,           0.0033312
                   1,             0.10049,            0.016424,            0.071687,           0.0012791,             0.13531,           0.0021384,           0.0012966,            0.097059,            0.015056,             0.05929,            0.039953,           0.0065986,           0.0065986
                   2,            0.099413,            0.016361,            0.069829,           0.0013747,             0.13771,           0.0023415,           0.0014031,            0.099166,            0.014912,            0.058555,           0.0098211,           0.0097999,           0.0097999
                   3,            0.097767,            0.016648,            0.068725,           0.0015106,             0.15402,             0.00378,           0.0023092,            0.096398,            0.014912,            0.057591,            0.009703,            0.009703,            0.009703
                   4,            0.094397,            0.016806,            0.066662,             0.96874,           0.0051168,           0.0057719,            0.003461,            0.093556,            0.015074,            0.056315,            0.009703,            0.009703,            0.009703
                   5,            0.092715,            0.016827,            0.065346,             0.97198,           0.0076439,           0.0079436,           0.0049356,            0.092364,            0.015061,             0.05536,            0.009604,            0.009604,            0.009604
                   6,            0.091627,            0.016689,            0.063778,              0.9704,           0.0081653,           0.0097437,           0.0059844,            0.091453,            0.014893,            0.054496,            0.009505,            0.009505,            0.009505
                   7,            0.090543,            0.016748,            0.062602,             0.97713,           0.0088016,            0.012526,           0.0080407,            0.090396,            0.014784,            0.053498,            0.009406,            0.009406,            0.009406
                   8,            0.089615,            0.016728,            0.061431,             0.91671,            0.015576,            0.014508,           0.0093384,            0.090175,            0.014751,            0.052794,            0.009307,            0.009307,            0.009307
                   9,            0.089346,            0.016625,            0.060235,             0.89908,            0.019986,             0.01631,            0.010561,             0.08908,            0.014603,             0.05203,            0.009208,            0.009208,            0.009208
                  10,            0.088907,            0.016597,            0.059791,             0.87954,            0.022488,              0.0184,            0.012002,            0.088658,            0.014724,            0.051416,            0.009109,            0.009109,            0.009109
                  11,            0.088192,            0.016602,             0.05895,             0.86739,             0.02561,            0.020224,            0.013303,            0.088008,            0.014776,            0.050857,             0.00901,             0.00901,             0.00901
                  12,            0.087936,             0.01665,            0.058045,             0.86585,            0.026969,             0.02193,            0.014423,            0.087392,            0.014599,            0.050263,            0.008911,            0.008911,            0.008911
                  13,            0.087553,            0.016471,             0.05768,             0.86204,            0.028831,            0.023554,            0.015732,            0.087047,            0.014561,            0.049878,            0.008812,            0.008812,            0.008812
                  14,            0.087322,            0.016559,            0.057306,             0.83191,            0.031032,            0.025655,            0.017259,            0.086685,            0.014563,            0.049378,            0.008713,            0.008713,            0.008713
                  15,            0.086841,            0.016465,            0.056478,             0.82221,            0.033971,            0.028118,             0.01907,            0.086313,            0.014475,            0.048921,            0.008614,            0.008614,            0.008614
                  16,            0.086701,            0.016453,            0.056228,             0.82032,            0.034559,            0.029448,            0.019901,             0.08587,            0.014441,            0.048632,            0.008515,            0.008515,            0.008515
                  17,            0.086469,            0.016553,            0.055369,             0.80085,            0.039143,             0.03104,            0.021041,            0.085735,            0.014461,            0.048292,            0.008416,            0.008416,            0.008416
                  18,            0.086114,            0.016435,            0.055079,             0.78801,            0.040358,            0.031939,             0.02165,             0.08542,            0.014406,            0.047977,            0.008317,            0.008317,            0.008317
                  19,            0.086009,            0.016355,            0.054988,              0.7936,            0.041664,              0.0326,            0.022569,            0.085193,            0.014418,            0.047786,            0.008218,            0.008218,            0.008218
                  20,            0.085904,            0.016383,            0.054309,             0.76995,            0.045478,            0.033603,            0.023039,            0.084956,            0.014397,            0.047563,            0.008119,            0.008119,            0.008119
                  21,            0.085371,            0.016336,            0.054212,             0.76195,             0.04623,            0.035385,            0.024382,            0.084685,            0.014368,            0.047363,             0.00802,             0.00802,             0.00802
                  22,            0.085122,            0.016321,            0.053524,             0.75107,            0.049634,            0.036779,            0.025437,              0.0844,            0.014342,            0.047074,            0.007921,            0.007921,            0.007921
                  23,            0.085089,             0.01634,            0.053416,             0.76075,            0.053266,            0.038612,            0.026682,            0.084158,            0.014305,            0.046812,            0.007822,            0.007822,            0.007822
                  24,            0.084785,            0.016136,            0.052943,             0.74647,            0.056085,            0.040044,            0.027773,            0.083888,            0.014299,            0.046623,            0.007723,            0.007723,            0.007723
                  25,            0.084798,            0.016264,            0.052596,             0.73135,            0.057669,            0.040646,            0.028243,            0.083733,            0.014293,            0.046453,            0.007624,            0.007624,            0.007624
                  26,             0.08443,            0.016291,            0.052266,             0.74128,            0.058175,            0.042394,            0.029678,            0.083555,            0.014309,            0.046326,            0.007525,            0.007525,            0.007525
                  27,            0.084516,            0.016207,            0.051732,              0.7295,            0.059517,            0.044132,            0.030792,              0.0834,            0.014302,            0.046199,            0.007426,            0.007426,            0.007426
                  28,            0.084358,             0.01619,            0.051844,             0.72579,             0.06183,            0.045666,            0.031862,            0.083298,            0.014274,            0.046108,            0.007327,            0.007327,            0.007327
                  29,             0.08388,            0.016185,            0.051617,             0.72421,            0.062108,            0.046551,            0.032553,            0.083096,            0.014279,            0.045952,            0.007228,            0.007228,            0.007228
                  30,            0.083913,            0.016256,            0.051069,             0.71767,            0.064559,            0.047536,             0.03333,            0.082969,            0.014289,            0.045822,            0.007129,            0.007129,            0.007129
                  31,            0.083724,            0.016099,            0.051184,             0.72168,            0.065197,            0.048535,              0.0342,            0.082861,            0.014291,            0.045722,             0.00703,             0.00703,             0.00703
                  32,            0.083587,            0.016159,            0.051031,             0.71602,            0.066923,            0.049323,            0.034652,            0.082782,            0.014302,            0.045602,            0.006931,            0.006931,            0.006931
                  33,            0.083216,            0.016025,            0.050532,             0.71672,             0.06854,            0.050519,            0.035429,            0.082671,            0.014297,            0.045495,            0.006832,            0.006832,            0.006832
                  34,            0.083132,            0.016053,            0.050416,             0.71171,            0.069399,            0.051639,            0.036448,             0.08257,             0.01429,              0.0454,            0.006733,            0.006733,            0.006733
                  35,            0.082988,            0.016144,             0.04987,             0.70715,            0.069203,            0.052377,             0.03699,            0.082467,            0.014287,            0.045321,            0.006634,            0.006634,            0.006634
                  36,            0.083233,            0.016176,            0.049695,             0.71056,             0.06957,            0.052919,            0.037245,            0.082367,             0.01429,            0.045233,            0.006535,            0.006535,            0.006535
                  37,            0.082982,            0.016117,            0.049768,             0.71144,            0.068983,            0.054194,            0.038417,            0.082293,            0.014288,            0.045158,            0.006436,            0.006436,            0.006436
                  38,            0.082752,            0.016067,             0.04945,             0.71301,            0.070696,             0.05464,            0.038626,            0.082224,            0.014281,            0.045089,            0.006337,            0.006337,            0.006337
                  39,            0.082831,            0.015982,             0.04918,             0.70469,            0.072233,            0.055004,            0.038924,            0.082161,            0.014275,            0.045023,            0.006238,            0.006238,            0.006238
                  40,            0.082596,            0.016095,            0.049014,             0.70004,            0.072326,            0.055856,            0.039509,            0.082097,            0.014274,            0.044969,            0.006139,            0.006139,            0.006139
                  41,            0.083014,            0.015985,            0.048868,             0.70256,            0.073769,            0.056552,            0.039969,            0.082043,            0.014272,            0.044907,             0.00604,             0.00604,             0.00604
                  42,            0.082442,            0.015956,            0.048237,             0.70012,            0.073317,            0.057388,            0.040489,            0.081993,            0.014266,            0.044848,            0.005941,            0.005941,            0.005941
                  43,            0.082208,             0.01592,            0.048246,             0.70064,            0.073979,            0.058048,             0.04105,            0.081943,            0.014259,            0.044801,            0.005842,            0.005842,            0.005842
                  44,            0.082242,            0.015915,            0.047838,              0.6932,            0.075428,            0.058733,            0.041492,            0.081885,            0.014258,            0.044755,            0.005743,            0.005743,            0.005743
                  45,             0.08211,            0.015925,            0.047512,             0.68792,            0.076205,            0.059326,            0.041922,            0.081834,            0.014262,            0.044709,            0.005644,            0.005644,            0.005644
                  46,            0.081977,            0.015993,            0.047737,             0.69059,            0.076661,            0.060225,            0.042648,            0.081783,            0.014264,            0.044663,            0.005545,            0.005545,            0.005545
                  47,            0.081834,            0.015906,            0.047018,             0.69007,            0.077518,            0.060794,            0.043131,            0.081741,            0.014263,            0.044617,            0.005446,            0.005446,            0.005446
                  48,            0.081284,            0.015782,            0.046927,             0.68709,            0.078419,            0.061362,             0.04357,            0.081701,            0.014263,            0.044571,            0.005347,            0.005347,            0.005347
                  49,            0.081714,             0.01574,            0.046984,             0.68896,            0.078958,            0.062141,            0.044189,            0.081664,            0.014261,            0.044523,            0.005248,            0.005248,            0.005248
                  50,            0.081415,            0.015748,            0.046536,              0.6825,            0.079787,            0.062402,            0.044415,            0.081627,            0.014261,            0.044481,            0.005149,            0.005149,            0.005149
                  51,            0.080865,            0.015718,            0.046293,             0.68475,            0.080301,            0.063067,            0.044825,            0.081592,            0.014258,            0.044438,             0.00505,             0.00505,             0.00505
                  52,            0.080857,            0.015703,            0.045988,             0.68054,            0.080769,            0.063834,            0.045451,            0.081555,            0.014255,            0.044396,            0.004951,            0.004951,            0.004951
                  53,             0.08073,            0.015667,            0.045539,             0.67807,            0.081347,            0.064533,            0.046032,            0.081519,            0.014252,            0.044357,            0.004852,            0.004852,            0.004852
                  54,            0.080597,            0.015637,            0.045486,             0.67882,            0.082108,            0.065142,            0.046501,            0.081482,            0.014249,            0.044321,            0.004753,            0.004753,            0.004753
                  55,            0.080374,            0.015681,            0.045163,             0.67373,            0.084416,            0.065645,            0.046846,            0.081448,            0.014247,            0.044285,            0.004654,            0.004654,            0.004654
                  56,             0.08044,            0.015597,            0.044887,             0.67452,            0.084365,            0.066389,            0.047302,            0.081414,            0.014243,            0.044248,            0.004555,            0.004555,            0.004555
                  57,            0.079862,            0.015539,            0.044266,             0.67018,            0.084911,            0.066755,            0.047599,            0.081384,            0.014239,            0.044213,            0.004456,            0.004456,            0.004456
                  58,            0.079781,            0.015502,            0.043939,             0.66743,             0.08574,            0.067316,            0.048001,             0.08135,            0.014237,            0.044179,            0.004357,            0.004357,            0.004357
                  59,            0.079886,            0.015678,             0.04387,             0.66845,            0.085832,            0.067903,            0.048447,            0.081321,            0.014232,            0.044146,            0.004258,            0.004258,            0.004258
                  60,            0.079363,            0.015397,            0.043777,             0.66198,            0.087556,            0.068723,            0.049048,            0.081285,             0.01423,            0.044111,            0.004159,            0.004159,            0.004159
                  61,            0.079143,            0.015343,            0.043292,             0.65605,            0.088372,             0.06968,            0.049856,            0.081249,            0.014225,            0.044076,             0.00406,             0.00406,             0.00406
                  62,             0.07913,            0.015268,            0.042982,             0.64731,            0.089867,            0.070273,              0.0503,            0.081218,            0.014221,            0.044043,            0.003961,            0.003961,            0.003961
                  63,            0.078761,            0.015302,            0.042397,             0.64514,            0.090712,            0.070995,            0.050897,            0.081191,            0.014218,            0.044008,            0.003862,            0.003862,            0.003862
                  64,            0.078601,            0.015237,            0.042415,             0.64833,             0.09128,            0.071633,            0.051391,            0.081163,            0.014214,            0.043975,            0.003763,            0.003763,            0.003763
                  65,            0.078748,            0.015229,            0.041998,             0.64221,            0.092442,            0.072204,            0.051857,            0.081132,            0.014209,            0.043942,            0.003664,            0.003664,            0.003664
                  66,            0.078468,            0.015345,            0.041709,             0.63971,            0.094634,            0.073068,            0.052454,            0.081099,            0.014205,            0.043909,            0.003565,            0.003565,            0.003565
                  67,             0.07803,            0.015135,            0.041333,             0.63255,            0.096017,            0.073747,            0.052982,             0.08107,              0.0142,            0.043877,            0.003466,            0.003466,            0.003466
                  68,            0.077981,            0.015148,            0.040787,             0.62802,             0.09641,            0.074544,            0.053625,            0.081041,            0.014196,            0.043845,            0.003367,            0.003367,            0.003367
                  69,            0.077834,            0.015075,            0.040629,             0.62771,            0.096482,             0.07531,            0.054315,            0.081014,            0.014193,            0.043818,            0.003268,            0.003268,            0.003268
                  70,            0.077471,            0.015057,            0.040171,             0.62692,            0.096171,            0.076253,            0.055124,            0.080988,             0.01419,             0.04379,            0.003169,            0.003169,            0.003169
                  71,            0.077171,            0.014967,            0.039971,             0.62666,            0.096586,            0.077461,            0.055999,            0.080963,            0.014188,            0.043762,             0.00307,             0.00307,             0.00307
                  72,            0.077167,            0.014896,            0.039492,             0.62174,            0.097229,            0.078318,            0.056702,            0.080938,            0.014186,            0.043737,            0.002971,            0.002971,            0.002971
                  73,            0.076428,            0.014875,            0.039166,             0.61713,            0.097721,            0.079158,            0.057281,            0.080918,            0.014184,            0.043714,            0.002872,            0.002872,            0.002872
                  74,            0.076588,            0.014952,            0.038628,             0.61726,            0.098095,            0.079792,            0.057804,            0.080896,            0.014182,            0.043691,            0.002773,            0.002773,            0.002773
                  75,            0.076137,              0.0147,            0.038482,             0.61234,            0.099618,            0.080496,            0.058385,            0.080877,            0.014181,            0.043672,            0.002674,            0.002674,            0.002674
                  76,            0.076603,            0.014675,            0.038151,             0.61012,             0.10128,            0.081325,             0.05879,            0.080856,            0.014182,            0.043655,            0.002575,            0.002575,            0.002575
                  77,            0.076057,            0.014686,            0.037645,             0.60949,             0.10202,            0.082074,            0.059382,            0.080834,            0.014184,            0.043641,            0.002476,            0.002476,            0.002476
                  78,            0.075806,             0.01464,            0.037559,             0.60799,             0.10235,             0.08309,            0.060065,            0.080814,            0.014185,            0.043628,            0.002377,            0.002377,            0.002377
                  79,            0.075734,            0.014557,            0.036776,             0.60843,             0.10293,            0.084252,            0.060968,            0.080795,            0.014189,            0.043616,            0.002278,            0.002278,            0.002278
                  80,            0.075086,            0.014515,            0.036379,             0.61173,             0.10311,            0.084937,            0.061427,             0.08078,            0.014193,            0.043609,            0.002179,            0.002179,            0.002179
                  81,            0.075181,            0.014443,            0.036463,             0.61306,             0.10355,            0.085505,            0.061884,            0.080766,            0.014198,            0.043602,             0.00208,             0.00208,             0.00208
                  82,            0.074704,            0.014398,            0.035693,             0.61252,             0.10549,            0.086245,            0.062436,            0.080751,            0.014205,            0.043596,            0.001981,            0.001981,            0.001981
                  83,            0.074798,            0.014415,            0.035535,             0.60852,             0.10646,            0.086975,            0.062896,            0.080738,            0.014213,            0.043593,            0.001882,            0.001882,            0.001882
                  84,            0.073973,            0.014231,            0.035347,             0.60311,             0.10712,            0.087674,            0.063487,            0.080725,            0.014222,            0.043591,            0.001783,            0.001783,            0.001783
                  85,            0.074205,            0.014274,            0.034722,             0.59919,              0.1073,            0.088229,            0.063948,            0.080711,            0.014232,            0.043595,            0.001684,            0.001684,            0.001684
                  86,            0.073995,            0.014184,             0.03442,             0.59432,             0.10882,            0.088365,            0.063958,              0.0807,            0.014243,            0.043597,            0.001585,            0.001585,            0.001585
                  87,            0.073474,            0.014026,            0.034129,             0.59219,             0.10956,            0.088933,            0.064371,            0.080692,            0.014256,            0.043604,            0.001486,            0.001486,            0.001486
                  88,            0.073318,             0.01402,             0.03367,             0.58594,              0.1107,            0.089371,            0.064791,            0.080683,             0.01427,            0.043612,            0.001387,            0.001387,            0.001387
                  89,            0.073135,            0.013946,            0.033296,             0.58637,             0.11018,            0.089968,            0.065393,            0.080677,            0.014285,            0.043622,            0.001288,            0.001288,            0.001288
                  90,            0.073038,            0.013841,            0.032992,             0.58627,             0.11062,            0.090437,            0.065747,            0.080673,            0.014303,            0.043634,            0.001189,            0.001189,            0.001189
                  91,            0.072546,            0.013766,            0.032438,             0.58633,             0.11204,             0.09095,            0.066053,            0.080668,            0.014323,            0.043651,             0.00109,             0.00109,             0.00109
