               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14408,            0.012995,            0.097131,          0.00053104,           0.0093249,           0.0006431,           0.0002773,             0.12277,            0.013902,            0.067419,            0.070095,           0.0033228,           0.0033228
                   1,             0.11802,            0.015364,            0.075058,           0.0013239,               0.087,           0.0027547,           0.0012695,             0.11529,             0.01287,            0.063239,            0.039876,           0.0064364,           0.0064364
                   2,             0.11362,            0.014999,            0.073075,            0.001116,            0.083328,           0.0020811,           0.0012377,             0.11167,              0.0133,            0.060766,           0.0094359,           0.0093301,           0.0093301
                   3,             0.11018,            0.015452,            0.071519,           0.0012329,             0.11184,           0.0061537,           0.0025269,             0.10841,            0.013772,            0.059969,             0.00901,             0.00901,             0.00901
                   4,             0.10623,            0.015629,            0.071417,           0.0013279,             0.10668,           0.0040064,           0.0025047,              0.1051,            0.014056,             0.05926,             0.00901,             0.00901,             0.00901
                   5,             0.10421,             0.01585,            0.070178,           0.0014154,             0.11561,           0.0031601,           0.0018096,              0.1035,            0.014019,               0.059,             0.00868,             0.00868,             0.00868
                   6,             0.10246,            0.015714,            0.070501,           0.0012716,             0.11936,           0.0027138,           0.0016379,             0.10181,            0.014112,            0.058983,             0.00835,             0.00835,             0.00835
                   7,             0.10058,            0.016299,            0.070046,           0.0018685,             0.12166,           0.0048454,           0.0030864,             0.10032,            0.014052,            0.058883,             0.00802,             0.00802,             0.00802
                   8,            0.099321,            0.016447,            0.070037,           0.0013021,              0.1133,           0.0036772,           0.0023988,            0.099461,            0.014205,            0.058697,             0.00769,             0.00769,             0.00769
                   9,            0.098626,             0.01621,            0.069767,           0.0014883,             0.13663,           0.0051433,            0.003715,            0.098696,            0.014047,            0.058634,             0.00736,             0.00736,             0.00736
                  10,            0.097225,            0.015947,            0.069283,            0.001409,             0.13419,             0.00366,           0.0022186,            0.098469,            0.013985,            0.058488,             0.00703,             0.00703,             0.00703
                  11,            0.096528,            0.015985,            0.068788,           0.0014622,             0.13514,           0.0042253,           0.0027558,            0.098113,            0.014012,            0.058505,              0.0067,              0.0067,              0.0067
                  12,            0.095943,            0.016184,             0.06904,           0.0014365,             0.14245,            0.005044,           0.0033019,            0.097459,            0.014097,            0.058495,             0.00637,             0.00637,             0.00637
                  13,            0.095317,            0.015806,            0.068436,           0.0014681,             0.13624,           0.0054203,           0.0035417,            0.097198,            0.014094,            0.058474,             0.00604,             0.00604,             0.00604
                  14,            0.094451,            0.015957,            0.067251,           0.0016551,              0.1498,           0.0046993,           0.0032086,            0.096433,            0.014079,            0.058359,             0.00571,             0.00571,             0.00571
                  15,            0.094169,            0.015883,            0.067736,           0.0015693,             0.14113,           0.0070763,            0.005125,            0.096111,            0.014049,            0.058258,             0.00538,             0.00538,             0.00538
                  16,            0.093688,            0.016175,            0.068012,           0.0014837,             0.14793,           0.0051697,           0.0036633,            0.095694,            0.014217,            0.058346,             0.00505,             0.00505,             0.00505
                  17,            0.092984,            0.015895,            0.067152,           0.0015176,               0.155,           0.0050532,           0.0035555,             0.09485,            0.014066,            0.058287,             0.00472,             0.00472,             0.00472
                  18,            0.092672,            0.016142,            0.067288,           0.0016648,             0.15859,            0.006996,           0.0050177,            0.095132,            0.014093,            0.058253,             0.00439,             0.00439,             0.00439
                  19,            0.092292,             0.01609,            0.067009,           0.0014928,             0.15884,           0.0056578,           0.0041663,            0.094444,            0.014136,              0.0582,             0.00406,             0.00406,             0.00406
                  20,            0.091051,            0.016051,            0.066637,            0.001424,             0.15323,           0.0068157,           0.0049968,            0.094119,            0.014316,            0.058167,             0.00373,             0.00373,             0.00373
                  21,            0.090819,            0.016076,            0.066317,           0.0016188,             0.16741,           0.0055758,            0.003953,            0.093475,            0.014127,            0.058086,              0.0034,              0.0034,              0.0034
                  22,            0.089906,            0.015933,            0.066037,           0.0014757,             0.16272,           0.0066207,            0.005062,            0.093394,            0.014061,            0.058116,             0.00307,             0.00307,             0.00307
                  23,            0.090157,            0.015845,            0.066037,           0.0015198,             0.16649,           0.0062362,           0.0045068,            0.093063,            0.014165,             0.05811,             0.00274,             0.00274,             0.00274
                  24,            0.089189,            0.015854,            0.066042,           0.0015729,               0.168,           0.0059552,           0.0040873,            0.092734,            0.014075,            0.058232,             0.00241,             0.00241,             0.00241
                  25,            0.088364,            0.015825,             0.06537,           0.0015276,             0.16889,           0.0059745,           0.0042154,             0.09259,            0.014308,            0.058043,             0.00208,             0.00208,             0.00208
                  26,            0.088403,             0.01585,             0.06522,           0.0015386,             0.17302,           0.0066993,            0.004714,             0.09227,             0.01413,            0.058162,             0.00175,             0.00175,             0.00175
                  27,            0.088202,            0.015777,            0.064833,           0.0015886,             0.17711,           0.0068102,           0.0049299,            0.092154,            0.014207,            0.058106,             0.00142,             0.00142,             0.00142
                  28,            0.087144,            0.015402,            0.064416,           0.0015875,             0.17478,           0.0070281,            0.005152,            0.091807,            0.014121,            0.058117,             0.00109,             0.00109,             0.00109
                  29,            0.086059,            0.015582,            0.064678,           0.0015858,             0.17927,           0.0064693,           0.0046446,            0.091709,            0.014224,             0.05826,             0.00076,             0.00076,             0.00076
